,LBXBPB,LBDBPBSI,LBDBPBLC,LBXBCD,LBDBCDSI,LBDBCDLC,LBXTHG,LBDTHGSI,LBDTHGLC,LBXBSE,LBDBSESI,LBDBSELC,LBXBMN,LBDBMNSI,LBDBMNLC
LBXBPB,,0.9988782174307536,,,,,,,,,,,,,
LBDBPBSI,0.9988782174307536,,,,,,,,,,,,,,
LBDBPBLC,,,,,,,,,,,,,,,
LBXBCD,,,,,,,,,,,,,,,
LBDBCDSI,,,,,,,,,,,,,,,
LBDBCDLC,,,,,,,,,,,,,,,
LBXTHG,,,,,,,,,,,,,,,
LBDTHGSI,,,,,,,,,,,,,,,
LBDTHGLC,,,,,,,,,,,,,,,
LBXBSE,,,,,,,,,,,,,,,
LBDBSESI,,,,,,,,,,,,,,,
LBDBSELC,,,,,,,,,,,,,,,
LBXBMN,,,,,,,,,,,,,,,
LBDBMNSI,,,,,,,,,,,,,,,
LBDBMNLC,,,,,,,,,,,,,,,
