,WTSB2YR,URXCNP,URDCNPLC,URXCOP,URDCOPLC,URXECP,URDECPLC,URXECPT,URDEPCLC,URXHIBP,URDHIBLC,URXMBP,URDMBPLC,URXMC1,URDMC1LC,URXMCOH,URDMCOLC,URXMEP,URDMEPLC,URXMHBP,URDMHBLC,URXMHH,URDMHHLC,URXMHHT,URDMHTLC,URXMHNC,URDMCHLC,URXMHP,URDMHPLC,URXMIB,URDMIBLC,URXMNP,URDMNPLC,URXMOH,URDMOHLC,URXMONP,URDMONLC,URXMZP,URDMZPLC
WTSB2YR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
URXCNP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
URDCNPLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
URXCOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.550399946,,,,0.936848742,,,
URDCOPLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
URXECP,,,,,,,,,,,,,,,,,,,,,,0.907601469,,,,,,0.686973261,,,,,,0.949820308,,,,,
URDECPLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
URXECPT,,,,,,,,,,,,,,,,,,,,,,,,0.734713547,,,,,,,,,,,,,,,
URDEPCLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
URXHIBP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.933032334,,,,,,,,,
URDHIBLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.56519849,,,,,,,,
URXMBP,,,,,,,,,,,,,,,,,,,,0.906087345,,,,,,,,,,,,,,,,,,,
URDMBPLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
URXMC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
URDMC1LC,,,,,,,,,,,,,,,,,,,,,0.503767737,,,,,,,,,,,,,,,,0.544203658,,
URXMCOH,,,,,,,,,,,,,,,,,,,,,,,,,,0.925819028,,,,,,,,,,,,,
URDMCOLC,,,,,,,,,,,,,,,,,,,,,,,,,,,0.609633789,,,,,,,,,,,,
URXMEP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
URDMEPLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
URXMHBP,,,,,,,,,,,,0.906087345,,,,,,,,,,,,,,,,,,,,,,,,,,,
URDMHBLC,,,,,,,,,,,,,,,0.503767737,,,,,,,,,,,,,,,,,,,,,,,,
URXMHH,,,,,,0.907601469,,,,,,,,,,,,,,,,,,,,,,0.771426634,,,,,,0.9620526,,,,,
URDMHHLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.800798522,,,,
URXMHHT,,,,,,,,0.734713547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
URDMHTLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
URXMHNC,,,,,,,,,,,,,,,,0.925819028,,,,,,,,,,,,,,,,,,,,,,,
URDMCHLC,,,,,,,,,,,,,,,,,0.609633789,,,,,,,,,,,,,,,,,,,,,,
URXMHP,,,,,,0.686973261,,,,,,,,,,,,,,,,0.771426634,,,,,,,,,,,,0.740700166,,,,,
URDMHPLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
URXMIB,,,,,,,,,,0.933032334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
URDMIBLC,,,,,,,,,,,0.56519849,,,,,,,,,,,,,,,,,,,,,,,,,,,,
URXMNP,,,,0.550399946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.739015374,,,
URDMNPLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
URXMOH,,,,,,0.949820308,,,,,,,,,,,,,,,,0.9620526,,,,,,0.740700166,,,,,,,,,,,
URDMOHLC,,,,,,,,,,,,,,,,,,,,,,,0.800798522,,,,,,,,,,,,,,,,
URXMONP,,,,0.936848742,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.739015374,,,,,,,
URDMONLC,,,,,,,,,,,,,,,0.544203658,,,,,,,,,,,,,,,,,,,,,,,,
URXMZP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
URDMZPLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
