,WTSB2YR,LBXPFDE,LBDPFDEL,LBXPFHS,LBDPFHSL,LBXMPAH,LBDMPAHL,LBXPFNA,LBDPFNAL,LBXPFUA,LBDPFUAL,LBXNFOA,LBDNFOAL,LBXBFOA,LBDBFOAL,LBXNFOS,LBDNFOSL,LBXMFOS,LBDMFOSL
WTSB2YR,,,,,,,,,,,,,,,,,,,
LBXPFDE,,,,,,,,0.667572649949387,,0.8314453901952279,,,,,,0.6893370733597147,,,
LBDPFDEL,,,,,,,,,,,,,,,,,,,
LBXPFHS,,,,,,,,,,,,,,,,,,,
LBDPFHSL,,,,,,,,,,,,,0.6272782433341004,,,,0.6781285971965083,,
LBXMPAH,,,,,,,,,,,,,,,,,,,
LBDMPAHL,,,,,,,,,,,,,,,,,,,
LBXPFNA,,0.667572649949387,,,,,,,,0.6288093105607528,,,,,,0.5614407629768015,,,
LBDPFNAL,,,,,,,,,,,,,,,,,,,
LBXPFUA,,0.8314453901952279,,,,,,0.6288093105607528,,,,,,,,0.6178044434630773,,,
LBDPFUAL,,,,,,,,,,,,,,,,,,,
LBXNFOA,,,,,,,,,,,,,,,,,,,
LBDNFOAL,,,,,0.6272782433341004,,,,,,,,,,,,0.7707542885825553,,0.5648292985071764
LBXBFOA,,,,,,,,,,,,,,,,,,,
LBDBFOAL,,,,,,,,,,,,,,,,,,,
LBXNFOS,,0.6893370733597147,,,,,,0.5614407629768015,,0.6178044434630773,,,,,,,,0.6802261486497982,
LBDNFOSL,,,,,0.6781285971965083,,,,,,,,0.7707542885825553,,,,,,0.5081303665304668
LBXMFOS,,,,,,,,,,,,,,,,0.6802261486497982,,,
LBDMFOSL,,,,,,,,,,,,,0.5648292985071764,,,,0.5081303665304668,,
