,WTSB2YR,LBXPFDE,LBDPFDEL,LBXPFHS,LBDPFHSL,LBXMPAH,LBDMPAHL,LBXPFNA,LBDPFNAL,LBXPFUA,LBDPFUAL,LBXNFOA,LBDNFOAL,LBXBFOA,LBDBFOAL,LBXNFOS,LBDNFOSL,LBXMFOS,LBDMFOSL
WTSB2YR,,,,,,,,,,,,,,,,,,,
LBXPFDE,,,,,,,,,,0.6913014368769043,,,,,,,,,
LBDPFDEL,,,,,,,,,,,,,,,,,,,
LBXPFHS,,,,,,,,,,,,,,,,,,,
LBDPFHSL,,,,,,,,,,,,,,,,,,,
LBXMPAH,,,,,,,,,,,,,,,,,,,
LBDMPAHL,,,,,,,,,,,,,,,,,,,
LBXPFNA,,,,,,,,,,,,,,,,,,,
LBDPFNAL,,,,,,,,,,,,,,,,,,,
LBXPFUA,,0.6913014368769046,,,,,,,,,,,,,,,,,
LBDPFUAL,,,,,,,,,,,,,,,,,,,
LBXNFOA,,,,,,,,,,,,,,,,,,,
LBDNFOAL,,,,,,,,,,,,,,,,,0.5940621733684562,,
LBXBFOA,,,,,,,,,,,,,,,0.5416897474629063,,,,
LBDBFOAL,,,,,,,,,,,,,,0.5416897474629074,,,,,
LBXNFOS,,,,,,,,,,,,,,,,,,,
LBDNFOSL,,,,,,,,,,,,,0.5940621733684559,,,,,,
LBXMFOS,,,,,,,,,,,,,,,,,,,
LBDMFOSL,,,,,,,,,,,,,,,,,,,
